pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0369+CH0370,crisis,两人交换了相互之间的住址，路胜才缓步离开。 出了传送点房间，前面便是一片广场，广场正中那块巨大的六角水晶，正闪烁着微亮的白光，正是之前他们进入黑印寺时的中央广场。 路胜回头看了眼身后，他出来的地方，是座手持弓箭朝远处眺望的修长青年雕像脚下。,crisis,现在他是打不过对方，但以后，这笔账他会慢慢算。 错引功法，无异于杀人灭族之仇，一旦他真正练岔了功法，可能导致的后果，根本无法想象，走火入魔，身体半残还算是小的。自爆身亡，疯疯癫癫那也是常有之事。 不知不觉间，路胜眼底深处的一丝杀意越来越深。
CH0371+CH0372,reward,圣主，其实都是一个层次，另外所谓的乱神兵，也就是凶兵，也是这个层次。之后才是掌兵使，再之后才是地元上中下九重。实际上，我等圣主，已经是站在整个人界最上层的位置。除开兵主，便是我等最强。这点你也曾听闻吧？”苏狞扉淡淡问道。 “是。”路胜点头。,crisis,龙翼，缓缓展开，遮天蔽日。 吼！！！ 这黑影赫然竟是一头体长上千米的漆黑巨龙。它仰天朝着大阴皇庭方向咆哮怒吼，浑身冒着无数黑色烟雾。 其龙头的四对犄角正中，正静静站着一个身穿紫色铠甲的雄壮人影。 他的身后披风，是由流动的燃烧的紫色火焰组成。
CH0373+CH0374,question,到外界去了，还在乎这么点小钱？就是三宗长老也有靠着你周家吃饭的，这么逼着人家一个小拍卖行，有意思么？”胖女人嘲讽道。 “小拍卖行？啧啧？”周勇谭咂巴了几下嘴巴，不再多说了。敢拍卖神兵的拍卖行会小？这笑话一点也不好笑。 胖女人也闭嘴不出声了。,crisis,以他也真心实意的想确认两者之间的关系。 反正他如今是圣主层次，和神兵魔刃属于同级存在，也不怕对方占主导。 路胜握住剑柄，缓缓将自己真气注入其中，这趟他也很注意，生怕一不小心把这潍河剑弄坏了。毕竟是他花了二十万魔金买到的，真要坏了就损失大了。
CH0375+CH0376,reversal,，短时间不会再用得着。”长孙蓝连忙回答。 元正上人又看向路胜。 路胜有点懵逼，他都忘了神兵原来是需要祭祀的。 “我……也没问题……”他迟疑道。 “我觉得我有问题。”潍河剑冷不丁幽幽的冒出来一句。但马上被路胜手一捏，接下来的话被痛得缩回嘴里。,reversal,吗？”路胜舔了舔嘴唇，握紧手里的剑柄。 他低头望向下方的如同沙盘一般的广袤平原。 叽！！ 左侧一头黑色巨鹰振动双翼，朝着路胜三人凶狠的扑来。 巨鹰光翼展便有三四十米，远远望去，它的尾巴居然不是一般的鸟类尾羽，而是大片黑色张牙舞爪的尖锐树根。
CH0377+CH0378,crisis,起来。最后噗通一声，跪倒在地。 “你……人类……卑鄙！！”这魔族咆哮着，气喘吁吁瞪着一双血红眼睛盯着路胜。 “死就死吧，还这么多废话作甚。”路胜笔直一剑对准他眼眶刺进去。 血浆缓缓从剑身边缘渗出，魔族往后仰倒在地，抽搐了一会儿，便没了生息。,crisis,阵法。 三人经过这一役，相互之间已经隐隐有了小团体的意思。 这也是九威洞主愿意看到的一幕。这死人脸难得的对路胜和长孙蓝露出一丝笑容，转身也带着缚灵宗的人离去。 至于路胜之前让缚灵宗的弟子出局，那和他本人无关，被敲竹杠的是其他长老殿主的后辈。
CH0379+CH0380,crisis,榜第三。”苏狞扉冷淡道，“与其如此，还不如将他丢出去试验一番，正巧有这么合适的人选。我正想看看这刀真正发挥全力，到底能达到什么程度。你放心，真要出了什么乱子，邪兵暴虐，无论人界还是魔界，都不会有谁敢容他存于世间。” 老者长叹一声，没再说话。,reversal,个故人。”路胜打断孙荣极的滔滔不绝，面上露出一丝笑容道。 …… “抱歉，我有事先走开一阵。”幽铟宗队伍内，一个面色冷淡的银发女子不礼貌的打断面前男子的滔滔不绝。 “哪里哪里，鹤师姐请便，请便。” 司马鹤淡淡点头，转身紧随着白裙女孩走出大厅。
CH0381+CH0382,question,那人影声音凄厉，当真是闻着流泪，见者伤心。 此时琼觞跑近了，才看清楚，那人赫然就是当初带他逃出宫找穹寰作掩护的观星大臣刘松簿。 “五姐！！？五姐她怎么了？？！”听到刘松簿的叫声，琼觞猛地浑身一抖，顿在原地一动不动，整个人仿佛魔怔了般呆住了。,crisis,天河真人却是真的连上去扶一把都不敢。 不是他们太胆小，而是就在这千阳宗内院，大阵笼罩范围内，众人已经隐隐感觉到有一丝心寒之意从背心升上来。 仿佛暗处有着一道视线在平静的盯着众人。 路胜知道，这不是他们的错觉，而是他那个便宜老师，真的来了……
CH0383+CH0384,reward,翼蛇印记。一旦被留下这个印记，就如同神兵辐射到其余地方一般。极其难祛除，也算是为李顺溪的安全做个保险。 路胜不会做李顺溪这种老好人，到处救人，但他欣赏这种人，并喜欢和其交好。这样的人，一旦让其承了自己的恩情，以后需要用到他时，必定能有回报。,crisis,天空都震动起来。仿佛世间的一切都在震颤，无穷的绿色光点从两人脚下升腾飞起。 轰！！！ 刹那间两只巨手从下方伸出，狠狠在路胜方位砸在一起。 巨手长达百米，粗也有十多米，两只手掌呈墨绿色，合在一起是如同两块巨大磨盘，死死将中间的路胜挤压碾碎着。
CH0385+CH0386,crisis,趟已经可以跑地下和提前他杀掉的那么多人称兄道弟了。 “是你自己找死！”上阳飞尖叫起来，声音混着男女同音，也不知道此时控制身体的是她自己，还是维拉魔帝。她四肢疯狂的，以一种完全违背人体角度弧度的方式和频率，疯狂在半空中挥舞出无数墨绿爪影细线。,crisis,不介意。 但一把可能在最关键时刻掉链子，还可能会反戈一击的神兵，就算再强，也完全没有存在的价值了。 他不知道其他什么法子能毁掉神兵魔刃，他只知道，自己的肉身，最强大，而自己的牙齿，是肉身中最硬最强的部分。 “既然爱我，为什么不给我去死！？”
CH0387+CH0388,crisis,。 噗！ 一只指甲尖锐的手臂从内部一下冲出，刺穿整个黑卵表皮。 手臂白皙细腻，压根就不是魔界生物的粗糙构造。而更像是人界女子。 嘶啦一下，黑卵朝着两侧分开，彻底撕裂。里面大量半透明的粘液四溢流出，淌在地面，很快便被草丛内的肥沃黑土吸收进去。,crisis,蓝真正的用法啊……”路胜头一次体会到了自己这个修改器真正最强的是什么。 不是别的，而是他近乎无限可能的恐怖推演力。 这一刻，他想起了前世地球各种只存在于理论中的恐怖威能，恐怖天灾。 “超新星爆炸，星系碰撞，宇宙黑洞，暗能撕裂，次元破灭……”
CH0389+CH0390,reversal,金色的千阳宗赤金真气，随即又转化为一大团漆黑色魔元，最后又变换成纯白色的气液液滴。 三大体系，尽皆吸纳。 “完成了……接下来，只要收集神兵魔刃，然后阅读足够多的各类典籍，为下一步的推演提供养分材料即可。” 路胜已经彻底明了了自己以后的道路。,crisis,打量，就能发现他身材健壮，明明年纪很大，却自然散发出一股野蛮强悍气息。 但路胜却能敏锐的察觉到，其体内蕴含着极其庞大的怪异力量，相当于掌兵使层面的力量。 “宗主可以叫我石。”这位显然就是当初被镇压在秘术殿下的那个古老魔王。同样的掌兵使层次。
CH0391+CH0392,crisis,重失职，之前还出了那般血案，若是真给上报上去，可是要问斩的！ “萧司主倒是果断。此事到此为止，另外，本宗本族在迁徙过程中，接连遭受袭击，袭击者身貌显著，速度力量极强，招式动作……”路胜开始把袭击车队的那伙人的外貌特征等一一给萧司主描述清晰。,crisis,不用我们亲自出手，自然有那边的人动手。”黑雾里传出尖锐细腻声音。 “魔界那边……还肯出手？”铮显疑惑道。 “暗地里是不行了。不过……找机会围杀，还是可以的。那路胜惹的麻烦太大，我们静观其变就好，这已经不是我等能掺合的层面了。”黑雾人摇头道。
CH0393+CH0394,crisis,同时领命，千阳宗借调过来的一众精锐纷纷露出笑容，这趟过来，可是路胜提前就允诺了不少好处的，大头反正有路胜路宗主顶着，他们只是服从命令。出发前，可是早就说清楚，能抢多少全看自己。 “杀！”黑鹿一族见势不妙，终于彻底绝望，带头抢先一步冲向对面。,crisis,手之事，真正最重要的，是神兵。 几人快步跟随阴影之王一路朝山谷深处掠去，谷中两侧到处都是蜂窝般的洞穴，里面隐隐能听到千阳宗弟子和黑鹿一族的族人之间的冲突争斗声。显然还有些许的残余抵抗，但三人都没在意，而是一直穿过整个山谷，地道最内层的底部。
CH0395+CH0396,crisis,是潍河剑异力，凡是任何力量，其实都是依靠神兵魔刃，或者其相关的血脉，或碎片发挥威力。 路胜此时也是一样。 仅仅低等神兵的潍河剑，被他用赤金真气包裹着催运，发挥出的威力，甚至达到了掌兵使层面。 这若是说出去，怕是要瞎掉千阳宗一大票人的眼珠子。,crisis,鲨鱼般细密锋利，嘴角顺着耳朵冒出点点黑烟火苗。 他轻轻甩了甩巨尾，低头俯视面前的小青蛇。 好久没彻底释放阳极态了，虽然现在只是放出一半，也足够解决面前这条不识趣的小东西。 “继续说。”他活动了下双手，准备只要这货再出言不逊一句，就当场摁死。
CH0397+CH0398,crisis,上的银票银子推来推去。 赌场侧面小门处，几个衣着华贵之人静静看着这里的热闹景象。 “怎么样？天洋兄？”其中一个为首的贵气男子笑着看向一旁的年轻男子。 这年轻男子面色泛白，两眼眼袋极大，身子瘦弱一副酒色过度模样，赫然正是路家的男丁之一路天洋。,crisis,色一凛，这也是他最担心的地方。他终归不是保姆，不可能二十四小时全天都守着家人身边。 “其实，这个也有方法可以解决。”潍河剑低声道。 “可以解决的法子很多，我只是没有信得过的合适之人。”路胜摇头。“凶手就藏在后宅中，但到底是谁，还说不清楚。”
CH0399+CH0400,crisis,路胜同样抬手，眉心亮起暗红翼蛇。他已经明白对方的层面了，绝对的魔界魔主，而且不是一般魔主，心中凛然下，他心头更多的却是升腾起丝丝兴奋和沸腾。 成就圣主这么些时间，他一直没机会与人全力交手，这趟居然在这野外被截杀，显然魔界是对他起了必杀之心。,crisis,阵容，可惜没想到……”另一红色人影缓缓起身，苦笑道。这是个一身赤光的高大男子，额头上向左凸起一个大包，容貌奇异，见之难忘。 他看向路胜身前的萧紫竹尸身。 “控心魔主也算是我人魔两界鼎鼎有名的老魔头了。没想到他的一具阴身居然被路兄斩杀于此。”
